Category,Kind,Fabric,Cut,Product_Code,Brand,Color,Warehouse,Location,Supplier,Balance,29,2XL,30,31,32,33,34,35,36,37,38,39,3XL,40,41,42,43,44,45,46,47,48,4XL,50,52,54,56,58,5XL,60,62,64,66,68,6XL,70,L,M,S,XL,XS
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,3 Brown,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,3 Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR015,Traum,3 L.Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,3 L.Brown,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,3 L.Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,5 Navy,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR016,Traum,5 Navy,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR019,Traum,3 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR019,Traum,3 Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR020,Traum,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Side Bags,Side Bags in Genuine Leather,772-TR020,Traum,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,2 D.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,3 L.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ114,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,2 D.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,3 L.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ115,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,2 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,2 Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,3 Havan,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,3 Havan,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ125,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,2 D.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,3 L.Brown,Warehouse,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ314,AYS,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ410,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ410,Guzzy,1 Black,Warehouse,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ410,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ410,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ420,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ420,Guzzy,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ420,Guzzy,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ420,Guzzy,3 L.Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,1 Black,Retail,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,3 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,3 Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ504,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ512,Guzzy,3 Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ512,Guzzy,3 Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ512,Guzzy,5 Navy,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-GZ512,Guzzy,5 Navy,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK075,Verka,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK075,Verka,1 Black,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK075,Verka,4 Havan,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Wallets,Wallets in Genuine Leather,882-VK075,Verka,4 Havan,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
